Device: cuda
GPU: NVIDIA GeForce RTX 4070
PlayNet: 569,509 params | DeclNet: 118,785 params

================================================================================
Training: 2000 epochs × 2048 games = ~4,096,000 games
PPO: lr=0.0003 ent=0.02 epochs=6 bs=1024
================================================================================
E  56 | dev=20.9 med=18 perf=1.7% | pl=+0.0008 vl=55.33 ent=0.69 kl=0.0049 | dmae=20.9 | 199g/s 10.3s
E  57 | dev=21.2 med=18 perf=1.6% | pl=+0.0006 vl=56.43 ent=0.68 kl=0.0051 | dmae=21.2 | 197g/s 10.4s
E  58 | dev=21.0 med=18 perf=1.8% | pl=+0.0010 vl=55.55 ent=0.69 kl=0.0054 | dmae=21.1 | 193g/s 10.6s
E  59 | dev=21.4 med=18 perf=1.6% | pl=+0.0007 vl=55.19 ent=0.68 kl=0.0049 | dmae=21.4 | 200g/s 10.2s
E  60 | dev=21.3 med=18 perf=1.2% | pl=-0.0001 vl=54.36 ent=0.67 kl=0.0051 | dmae=21.3 | 198g/s 10.4s
E  61 | dev=21.0 med=18 perf=1.4% | pl=+0.0010 vl=53.78 ent=0.67 kl=0.0048 | dmae=21.0 | 197g/s 10.4s
E  62 | dev=21.0 med=18 perf=1.3% | pl=+0.0010 vl=52.70 ent=0.67 kl=0.0054 | dmae=21.0 | 194g/s 10.6s
E  63 | dev=20.8 med=18 perf=1.2% | pl=+0.0020 vl=51.60 ent=0.66 kl=0.0047 | dmae=20.8 | 187g/s 10.9s
E  64 | dev=20.7 med=18 perf=1.3% | pl=+0.0015 vl=53.38 ent=0.66 kl=0.0049 | dmae=20.7 | 194g/s 10.5s
E  65 | dev=20.5 med=18 perf=1.3% | pl=+0.0017 vl=51.92 ent=0.66 kl=0.0052 | dmae=20.5 | 199g/s 10.3s
E  66 | dev=20.9 med=18 perf=1.4% | pl=+0.0022 vl=49.66 ent=0.66 kl=0.0051 | dmae=20.9 | 196g/s 10.4s
E  67 | dev=20.7 med=18 perf=1.5% | pl=+0.0033 vl=51.62 ent=0.65 kl=0.0057 | dmae=20.7 | 194g/s 10.6s
E  68 | dev=20.6 med=18 perf=1.3% | pl=+0.0024 vl=51.17 ent=0.65 kl=0.0056 | dmae=20.6 | 195g/s 10.5s
E  69 | dev=20.8 med=18 perf=1.3% | pl=+0.0021 vl=53.45 ent=0.65 kl=0.0066 | dmae=20.8 | 199g/s 10.3s
E  70 | dev=20.3 med=17 perf=1.2% | pl=+0.0031 vl=52.35 ent=0.65 kl=0.0061 | dmae=20.3 | 195g/s 10.5s
E  71 | dev=20.7 med=18 perf=1.4% | pl=+0.0035 vl=51.69 ent=0.65 kl=0.0067 | dmae=20.7 | 196g/s 10.4s
E  72 | dev=20.5 med=17 perf=1.6% | pl=+0.0028 vl=52.09 ent=0.65 kl=0.0069 | dmae=20.5 | 198g/s 10.3s
E  73 | dev=20.5 med=17 perf=1.3% | pl=+0.0025 vl=51.13 ent=0.64 kl=0.0061 | dmae=20.5 | 195g/s 10.5s
E  74 | dev=20.4 med=17 perf=1.5% | pl=+0.0029 vl=51.76 ent=0.64 kl=0.0066 | dmae=20.4 | 191g/s 10.7s
E  75 | dev=20.3 med=17 perf=1.3% | pl=+0.0039 vl=49.67 ent=0.63 kl=0.0065 | dmae=20.3 | 199g/s 10.3s
E  76 | dev=20.5 med=18 perf=1.5% | pl=+0.0034 vl=51.92 ent=0.63 kl=0.0070 | dmae=20.5 | 190g/s 10.8s
E  77 | dev=20.3 med=17 perf=1.4% | pl=+0.0032 vl=51.99 ent=0.62 kl=0.0072 | dmae=20.3 | 194g/s 10.5s
E  78 | dev=20.3 med=17 perf=1.1% | pl=+0.0032 vl=51.59 ent=0.63 kl=0.0068 | dmae=20.4 | 193g/s 10.6s
E  79 | dev=20.4 med=17 perf=1.6% | pl=+0.0033 vl=51.08 ent=0.63 kl=0.0066 | dmae=20.4 | 192g/s 10.7s
E  80 | dev=20.2 med=17 perf=1.3% | pl=+0.0046 vl=50.93 ent=0.62 kl=0.0071 | dmae=20.2 | 195g/s 10.5s
